Last name,First name,Student ID,email,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10,M1,M2,Final,,,,,,,,,,,,,,,,,,,,,,,
Dawn,Shawn,61253551,yourname@buffalo.edu,97,93,100,96,94,99,98,100,95,95,86,74,86,,,,,,,,,,,,,,,,,,,,,,,
DeWitt,Jeffrey,61395907,yourname@buffalo.edu,76,85,94,83,83,92,89,100,96,72,91,81,69,,,,,,,,,,,,,,,,,,,,,,,
DiCaprio,Leo,61538263,yourname@buffalo.edu,81,53,49,0,0,0,43,0,49,0,91,62,77.5,,,,,,,,,,,,,,,,,,,,,,,
Drew,Nancy,61680619,yourname@buffalo.edu,87,79,83,87,96,94,94,100,95,90,58,72,51.5,,,,,,,,,,,,,,,,,,,,,,,
Erikson,Erik,61822975,yourname@buffalo.edu,82,95,92,97,93,83,67,99,93,81,53,49,27,,,,,,,,,,,,,,,,,,,,,,,
Fall,Summer,61965331,yourname@buffalo.edu,96,95,97,92,96,96,95,98,92,94,85,83,77,,,,,,,,,,,,,,,,,,,,,,,
Flanders,Maude,62107687,yourname@buffalo.edu,76,68,43,59,83,62,78,82,67,58,89,59,65.5,,,,,,,,,,,,,,,,,,,,,,,
Focker,Gaylord,62250043,yourname@buffalo.edu,91,88,84,96,97,96,97,99,94,87,87,97,87,,,,,,,,,,,,,,,,,,,,,,,
Godspeed,Travel,62392399,yourname@buffalo.edu,92,90,89,93,91,95,83,100,92,91,92,83,88.5,,,,,,,,,,,,,,,,,,,,,,,
Groundhog,Phil,62534755,yourname@buffalo.edu,96,92,99,97,95,100,97,99,94,96,90,53,71.5,,,,,,,,,,,,,,,,,,,,,,,
Gutfeld,Greg,62677111,yourname@buffalo.edu,97,94,98,98,92,98,79,100,93,94,66,58,52.5,,,,,,,,,,,,,,,,,,,,,,,
Hawke,Ethan,62819467,yourname@buffalo.edu,98,92,97,100,97,98,100,100,94,90,86,73,86.5,,,,,,,,,,,,,,,,,,,,,,,
Hotdog,Nathan,62961823,yourname@buffalo.edu,83,86,94,86,92,93,93,100,92,98,95,93,88.5,,,,,,,,,,,,,,,,,,,,,,,
Hudson,Kate,63104179,yourname@buffalo.edu,99,97,82,91,92,94,90,89,93,75,78,76,66,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Andrew,63246535,yourname@buffalo.edu,88,91,96,93,94,94,93,99,98,96,60,67,57,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Michael,63388891,yourname@buffalo.edu,96,96,99,99,96,88,93,98,90,93,77,70,92.5,,,,,,,,,,,,,,,,,,,,,,,
Johnson,Dakota,63531247,yourname@buffalo.edu,74,90,80,78,59,90,81,69,72,71,82,67,55.5,,,,,,,,,,,,,,,,,,,,,,, 
Jones,Tommy Lee,63673603,yourname@buffalo.edu,93,91,100,99,90,89,88,100,96,95,89,83,80.5,,,,,,,,,,,,,,,,,,,,,,,
Jones,Hannah,63815959,yourname@buffalo.edu,100,98,98,97,93,100,96,100,100,94,96,95,93.5,,,,,,,,,,,,,,,,,,,,,,,
Jones,Jimbo,63958315,yourname@buffalo.edu,90,96,99,97,92,95,95,100,97,94,67,63,64.5,,,,,,,,,,,,,,,,,,,,,,, 
Jupiter,Jim,64100671,yourname@buffalo.edu,95,85,97,95,86,96,86,91,79,86,49,66,61.5,,,,,,,,,,,,,,,,,,,,,,,
Kardashian,Kim,64243027,yourname@buffalo.edu,99,99,100,99,98,100,95,100,94,97,97,99,101,,,,,,,,,,,,,,,,,,,,,,,
Karenina,Anna,64385383,yourname@buffalo.edu,98,98,92,94,92,100,99,100,100,91,67,92,75,,,,,,,,,,,,,,,,,,,,,,,
Knox,Albert,64527739,yourname@buffalo.edu,77,86,82,81,84,97,71,80,53,78,79,39,74.5,,,,,,,,,,,,,,,,,,,,,,,
Kowalski,Jessica,64670095,yourname@buffalo.edu,97,97,97,79,56,78,95,80,92,89,96,86,82,,,,,,,,,,,,,,,,,,,,,,,
Lauren,Ralph,64812451,yourname@buffalo.edu,86,95,94,97,89,98,96,96,97,81,78,87,61.5,,,,,,,,,,,,,,,,,,,,,,,
Lebowski,Dude,64954807,yourname@buffalo.edu,96,98,95,99,97,98,100,99,99,98,97,96,97.5,,,,,,,,,,,,,,,,,,,,,,,
Lee,Robert,65097163,yourname@buffalo.edu,74,82,94,79,95,96,97,94,94,95,87,67,92,,,,,,,,,,,,,,,,,,,,,,,
Lewis,Daniel,65239519,yourname@buffalo.edu,100,96,88,99,93,98,94,100,95,87,97,100,93,,,,,,,,,,,,,,,,,,,,,,,
Lier,Jacob,65381875,yourname@buffalo.edu,79,80,65,40,77,58,69,87,77,83,82,61,67.5,,,,,,,,,,,,,,,,,,,,,,,
Linwood,James,65524231,yourname@buffalo.edu,32,56,55,63,60,50,0,62,76,66,66,53,39,,,,,,,,,,,,,,,,,,,,,,,
Listless,Laura,65666587,yourname@buffalo.edu,97,100,99,100,100,98,100,100,100,95,96,57,87.5,,,,,,,,,,,,,,,,,,,,,,,
Mad,Max,65808943,yourname@buffalo.edu,92,83,53,0,68,93,80,94,78,60,95,86,91,,,,,,,,,,,,,,,,,,,,,,,
Mammoth,Manny,65951299,yourname@buffalo.edu,86,82,84,96,84,87,83,97,89,90,74,67,82,,,,,,,,,,,,,,,,,,,,,,,
Mercury,Freddy,66093655,yourname@buffalo.edu,91,80,91,70,95,96,70,95,0,49,69,41,48.5,,,,,,,,,,,,,,,,,,,,,,,
Montana,Hannah,66236011,yourname@buffalo.edu,95,99,91,92,86,99,95,94,98,91,91,78,94,,,,,,,,,,,,,,,,,,,,,,,
Ohmygodtheykilled,Kenny,66378367,yourname@buffalo.edu,85,85,96,85,87,96,90,94,97,86,71,79,64.5,,,,,,,,,,,,,,,,,,,,,,,
Oscar,Emmy,66520723,yourname@buffalo.edu,95,98,98,98,93,95,83,94,95,97,76,50,54.5,,,,,,,,,,,,,,,,,,,,,,,
Perry,Tyler,66663079,yourname@buffalo.edu,91,93,97,93,84,83,100,96,91,91,96,100,97.5,,,,,,,,,,,,,,,,,,,,,,,
Quinn,Freddy,66805435,yourname@buffalo.edu,78,92,98,94,93,87,95,83,96,94,92,79,70,,,,,,,,,,,,,,,,,,,,,,,
Rogen,Seth,66947791,yourname@buffalo.edu,35,41,74,68,51,0,0,79,90,50,57,72,70,,,,,,,,,,,,,,,,,,,,,,,
Rogers,Roy,67090147,yourname@buffalo.edu,76,92,91,88,90,99,88,91,86,87,80,70,74,,,,,,,,,,,,,,,,,,,,,,,
Sashanov,Alex,67232503,yourname@buffalo.edu,0,88,96,97,96,96,97,92,96,90,76,68,82.5,,,,,,,,,,,,,,,,,,,,,,,
Scuseria,Gus,67374859,yourname@buffalo.edu,94,98,99,96,94,100,94,98,95,91,89,89,72,,,,,,,,,,,,,,,,,,,,,,,
Silver,John,67517215,yourname@buffalo.edu,0,0,82,64,62,0,0,0,65,0,93,87,57,,,,,,,,,,,,,,,,,,,,,,,
Simpson,Homer,67659571,yourname@buffalo.edu,81,87,80,83,90,86,71,95,89,0,86,61,52.5,,,,,,,,,,,,,,,,,,,,,,,
Simpson,Bart,67801927,yourname@buffalo.edu,42,79,87,93,87,88,91,99,85,86,55,50,61.5,,,,,,,,,,,,,,,,,,,,,,,
Simpson,Marge,67944283,yourname@buffalo.edu,92,92,85,91,89,97,95,92,94,91,96,84,86,,,,,,,,,,,,,,,,,,,,,,,
Smith,Kevin,68086639,yourname@buffalo.edu,90,95,100,98,97,100,93,100,97,91,83,75,67.5,,,,,,,,,,,,,,,,,,,,,,,
St Claire,Stephen,68228995,yourname@buffalo.edu,83,91,85,85,97,91,92,84,90,78,88,56,67.5,,,,,,,,,,,,,,,,,,,,,,,
Stevenson,Steven,68371351,yourname@buffalo.edu,93,92,99,94,98,99,95,100,96,88,52,75,59.5,,,,,,,,,,,,,,,,,,,,,,,
Streetday,Christopher,68513707,yourname@buffalo.edu,79,91,71,72,79,95,85,80,91,83,89,73,64,,,,,,,,,,,,,,,,,,,,,,,
The Horse,Ed,68656063,yourname@buffalo.edu,95,98,95,100,93,98,79,99,97,79,94,77,79,,,,,,,,,,,,,,,,,,,,,,,
TheGreat,Nate,68798419,yourname@buffalo.edu,99,99,87,100,94,93,98,99,93,94,92,96,95.5,,,,,,,,,,,,,,,,,,,,,,,
TheMarter,Thomas,68940775,yourname@buffalo.edu,47,78,75,78,87,92,76,83,68,57,94,68,81,,,,,,,,,,,,,,,,,,,,,,,
Tree,Joshua,69083131,yourname@buffalo.edu,93,99,95,99,94,97,93,100,93,85,95,88,75,,,,,,,,,,,,,,,,,,,,,,,
West,North,69225487,yourname@buffalo.edu,96,96,99,98,97,98,98,99,94,96,94,95,84.5,,,,,,,,,,,,,,,,,,,,,,,
